bedrijf,medewerker_id,naam,leeftijd,geslacht,afkomst,provincie,studie_niveau,opleidingsrichting,specialisatie,werkervaring_jaren,dienstjaren,functie,afdeling,team,senioriteit,mindset,persoonlijkheidsstijl,politiek,technologische_kennis,%_werk_op_computer,%_werk_met_machines,mobiliteit,lease_auto,thuiswerkpercentage,communicatiestijl,feedbackstijl,leiderschapstype,besluitvormingstype,gebruik_van_data,trainingen_per_jaar,deelname_AI_project,deelname_communities,mentorschap,sociale_connecties_op_werk,werktevredenheid,zingeving_in_werk,burnout_risico,autonomie,invloed_op_beslissingen,verwachting_AI_in_werk,kennis_nieuwe_technologie,projectcomplexiteit,werkdruk,rol_in_verandering,houding_risico,conformisme,creativiteit,leerstijl,motivatiebron,compliance_bewustzijn,veiligheidscultuur_HSE,IT_afhankelijkheid_rol,field_vs_kantoor,shiftwerk,klantcontact_intensiteit,stakeholder_complexiteit,regulering_exposure,budgetverantwoordelijkheid,besluitsnelheid_persoonlijk,veranderhistorie_succes,tech_champion_netwerk,tooling_voorkeur,documentatiediscipline,kwaliteitsfocus,duurzaamheidshouding,inclusieve_houding,vertrouwen_in_management,vertrouwen_in_collegas,issue_escalatiestijl,besluit_rationaliteit,teamgrootte,salaris_per_maand_eur
Volker Nexus Group,VNG-SPJWB4,Naud Mudden,31,V,Turks-Nederlands,Overijssel,WO,Civiele Techniek,Predictive Maintenance,4,3,Monteur E-tech,Bouw,Team-11,Junior-Medior,Reactief,ENFP,Centrum,2,30,50,Fiets,Nee,50,Formeel,Voorzichtig,Coachend,Consensus,Maandelijks,4,Ja,0,Mentee,Hoog,3,1,1,2,1,Neutraal,5,Hoog,4,Change champion,Risk-seeking,Hoog,3,Coaching,Geld,5,5,Laag,100% kantoor,3-ploeg,Midden,Laag,Hoog,Klein,Gemiddeld,Hoog,Ja,Google Meet,1,3,Neutraal,5,3,1,Formalistisch,Intuïtief,31,3720
Volker Nexus Group,VNG-JBXBF7,Ilse Scholten,45,V,Nederlands,Overijssel,HBO,Informatica,NEN-2767,9,1,QA/QC-engineer,Data & Analytics,Team-44,Medior,Visionair,ISTJ,Centrum,3,84,80,OV,Nee,100,Feitelijk,Direct,Sturend,Consensus,Dagelijks,0,Ja,3,Geen,Laag,5,4,4,3,1,Kans,3,Hoog,1,Change champion,Risk-averse,Hoog,4,Klassikaal,Groei,1,4,Hoog,50/50,Geen,Laag,Midden,Hoog,Klein,Traag,Laag,Nee,Google Meet,4,4,Sceptisch,1,3,2,Stilhouden,Intuïtief,18,6402
Volker Nexus Group,VNG-ZJN2HO,Elias Meyer-Molenaar,38,X,Nederlands,Gelderland,MBO,Rechten,Systems Engineering,0,0,Magazijnbeheerder,Bouw,Team-13,Starter,Innovatief,INFP,Centrum,3,60,50,OV,Nee,100,Verbindend,Direct,Sturend,Consensus,Dagelijks,4,Ja,3,Beide,Gemiddeld,4,2,4,5,1,Neutraal,2,Hoog,1,Volger,Neutraal,Laag,4,E-learning,Status,5,2,Hoog,50/50,2-ploeg,Hoog,Hoog,Hoog,Geen,Gemiddeld,Midden,Nee,Slack,2,4,Sceptisch,5,5,1,Proactief,Ervarings-gedreven,31,3000
Volker Nexus Group,VNG-2VNNI8,Bryan Fredriks,44,V,Nederlands,Drenthe,MBO,Communicatie,Cost Engineering,3,1,Servicemonteur,ICT,Team-49,Junior,Reactief,ENTP,Centrum,1,23,50,Mix,Nee,75,Verbindend,Indirect,Ondersteunend,Autonoom,Dagelijks,5,Nee,0,Geen,Gemiddeld,2,4,5,5,5,Verlies,5,Laag,4,Weerstand,Neutraal,Laag,5,Coaching,Status,3,2,Midden,25/75,2-ploeg,Midden,Laag,Laag,Klein,Traag,Hoog,Nee,Google Meet,2,5,Sceptisch,4,1,1,Stilhouden,Data-gedreven,17,3520
Volker Nexus Group,VNG-12PGZH,Ceylin Uphaus,42,X,Duits-Nederlands,Noord-Holland,HBO,Kwaliteitsmanagement,Cost Engineering,9,1,Site Manager,Bouw,Team-37,Medior,Neutraal,INFJ,Centrum-rechts,2,93,0,OV,Nee,50,Verbindend,Direct,Coachend,Autonoom,Dagelijks,4,Ja,0,Beide,Gemiddeld,2,2,4,2,3,Verlies,4,Gemiddeld,4,Change champion,Risk-seeking,Laag,5,Klassikaal,Geld,1,1,Laag,50/50,2-ploeg,Laag,Laag,Hoog,Geen,Traag,Hoog,Nee,Zoom,1,2,Neutraal,3,3,1,Stilhouden,Data-gedreven,9,7601
Volker Nexus Group,VNG-RLZ8WC,Julie Doesburg-Gervais,60,V,Nederlands,Drenthe,WO,Bouwkunde,Wind,17,12,HR-adviseur,HR,Team-02,Senior,Neutraal,ESFJ,Extreem links,3,47,14,Te voet,Ja,50,Feitelijk,Voorzichtig,Coachend,Consensus,Dagelijks,2,Nee,3,Beide,Hoog,2,5,5,5,4,Verlies,1,Hoog,5,Volger,Risk-averse,Laag,1,E-learning,Status,4,5,Hoog,50/50,2-ploeg,Hoog,Midden,Hoog,Klein,Snel,Laag,Ja,Microsoft Teams,5,4,Sceptisch,4,1,5,Stilhouden,Ervarings-gedreven,15,9438
Volker Nexus Group,VNG-IPJ5B3,Cornelia Mallien-Palman,36,V,Indonesisch-Nederlands,Friesland,MBO,Kwaliteitsmanagement,Lean Construction,0,0,Logistiek coördinator,Bouw,Team-48,Starter,Neutraal,ISTP,Rechts,4,40,50,Te voet,Nee,75,Verbindend,Direct,Sturend,Consensus,Wekelijks,2,Ja,0,Geen,Gemiddeld,3,5,5,3,4,Neutraal,2,Hoog,1,Change champion,Risk-averse,Hoog,4,Coaching,Status,1,5,Laag,50/50,3-ploeg,Hoog,Midden,Midden,Klein,Traag,Laag,Ja,Slack,2,3,Neutraal,5,5,3,Proactief,Ervarings-gedreven,13,3060
Volker Nexus Group,VNG-Y8T4NR,Noëlle Vink,46,M,Nederlands,Limburg,HBO,Bedrijfskunde,BIM,0,0,Monteur E-tech,Commercie/BD,Team-01,Starter,Innovatief,ISTJ,Centrum,5,60,50,Mix,Nee,25,Formeel,Indirect,Ondersteunend,Consensus,Zelden,4,Ja,1,Mentee,Laag,2,3,1,5,2,Verlies,5,Hoog,1,Weerstand,Risk-seeking,Hoog,1,Klassikaal,Geld,3,1,Midden,100% field,3-ploeg,Hoog,Hoog,Midden,Groot,Snel,Midden,Ja,Zoom,1,1,Sceptisch,3,4,3,Stilhouden,Data-gedreven,8,3000
Volker Nexus Group,VNG-IJXY7T,Noud Lemmens,48,M,Surinaams-Nederlands,Noord-Holland,MBO,Veiligheidskunde,Azure Cloud,8,4,Monteur W-tech,Finance/Control,Team-03,Medior,Innovatief,ENFP,Links,2,44,50,Auto,Nee,100,Verbindend,Indirect,Ondersteunend,Consensus,Wekelijks,6,Nee,0,Geen,Gemiddeld,2,1,1,4,3,Neutraal,2,Laag,5,Change champion,Neutraal,Laag,1,E-learning,Status,3,1,Midden,50/50,Geen,Laag,Hoog,Laag,Klein,Traag,Laag,Nee,Google Meet,4,4,Sceptisch,4,3,5,Proactief,Ervarings-gedreven,27,4664
Volker Nexus Group,VNG-CK7RF6,Ashley Cornelisse-Stamrood,37,V,Antilliaans-Nederlands,Zuid-Holland,WO,Econometrie,Predictive Maintenance,25,16,Projectmanager,ICT,Team-18,Senior,Reactief,ISTJ,Centrum-links,3,37,59,Auto,Ja,25,Formeel,Voorzichtig,Ondersteunend,Autonoom,Wekelijks,6,Nee,3,Mentor,Gemiddeld,4,1,1,1,4,Verlies,5,Laag,4,Volger,Risk-seeking,Hoog,3,Coaching,Zingeving,3,5,Hoog,25/75,2-ploeg,Midden,Hoog,Laag,Klein,Traag,Hoog,Ja,Google Meet,2,2,Proactief,1,1,2,Stilhouden,Ervarings-gedreven,23,14300
Volker Nexus Group,VNG-0KAYWL,Karlijn van Susa,24,V,Nederlands,Flevoland,WO,Stedenbouw,MLOps,15,12,Scrum Master,Duurzaamheid,Team-20,Medior-Senior,Neutraal,ENTP,Centrum,5,70,0,Fiets,Nee,0,Formeel,Direct,Coachend,Consensus,Zelden,2,Nee,0,Mentor,Laag,1,1,2,2,4,Verlies,1,Gemiddeld,2,Change champion,Risk-averse,Midden,4,E-learning,Geld,4,4,Laag,100% kantoor,Geen,Midden,Hoog,Laag,Groot,Traag,Midden,Nee,Microsoft Teams,2,2,Proactief,3,5,2,Proactief,Ervarings-gedreven,8,9300
Volker Nexus Group,VNG-2D3TME,Melle Courtier,56,X,Turks-Nederlands,Noord-Brabant,WO,Bouwkunde,Condition Monitoring,6,6,Monteur W-tech,Commercie/BD,Team-36,Junior-Medior,Reactief,ISFP,Centrum,3,27,50,Te voet,Nee,100,Formeel,Indirect,Ondersteunend,Top-down,Maandelijks,2,Ja,3,Mentee,Hoog,5,5,4,2,2,Kans,4,Hoog,1,Change champion,Neutraal,Laag,5,Coaching,Zekerheid,2,2,Laag,25/75,3-ploeg,Hoog,Hoog,Hoog,Geen,Traag,Laag,Ja,Zoom,4,1,Proactief,3,2,1,Formalistisch,Intuïtief,17,3980
Volker Nexus Group,VNG-LA7AWV,Brian Chrodtrud,37,M,Marokkaans-Nederlands,Zeeland,MBO,Finance & Control,Nul-op-de-meter,1,1,Uitvoerder,Materieel & Logistiek,Team-29,Starter,Reactief,ISTP,Rechts,5,37,50,Auto,Ja,50,Feitelijk,Direct,Ondersteunend,Top-down,Maandelijks,6,Ja,4,Mentee,Laag,3,2,2,2,4,Neutraal,1,Hoog,3,Change champion,Risk-averse,Midden,5,Coaching,Zingeving,3,4,Hoog,100% field,3-ploeg,Midden,Midden,Midden,Groot,Snel,Laag,Nee,Google Meet,1,1,Sceptisch,5,5,3,Formalistisch,Data-gedreven,6,3740
Volker Nexus Group,VNG-QIJYNZ,Thijs Draaisma,35,X,Surinaams-Nederlands,Zuid-Holland,MBO,Biotechnologie,Lean Construction,7,0,IT Support,KAM/HSSE,Team-43,Medior,Reactief,INFP,Rechts,3,79,18,Fiets,Nee,25,Informeel,Indirect,Ondersteunend,Consensus,Wekelijks,3,Nee,4,Beide,Hoog,1,3,4,2,5,Neutraal,5,Gemiddeld,5,Change champion,Risk-averse,Laag,3,On-the-job,Zingeving,1,3,Midden,50/50,2-ploeg,Hoog,Midden,Laag,Middel,Gemiddeld,Hoog,Ja,Microsoft Teams,4,5,Proactief,5,4,1,Stilhouden,Intuïtief,8,4367
Volker Nexus Group,VNG-M2J3T9,Amélie Willems,31,V,Nederlands,Noord-Holland,PhD,Projectmanagement,Lean Construction,6,6,Projectleider,HR,Team-22,Junior-Medior,Neutraal,ESTJ,Centrum-rechts,1,100,51,Auto,Ja,75,Verbindend,Voorzichtig,Coachend,Autonoom,Zelden,3,Ja,5,Geen,Laag,3,5,2,1,1,Kans,2,Laag,3,Weerstand,Neutraal,Hoog,4,Coaching,Zekerheid,5,4,Midden,100% kantoor,3-ploeg,Laag,Midden,Laag,Geen,Gemiddeld,Midden,Nee,Zoom,5,4,Neutraal,3,2,3,Formalistisch,Intuïtief,22,6340
Volker Nexus Group,VNG-ZFOG46,Amber Kolen,21,M,Nederlands,Utrecht,MBO,Scheikunde,GIS,6,6,Werkvoorbereider,Uitvoering,Team-06,Junior-Medior,Neutraal,ISTJ,Extreem rechts,5,46,15,OV,Ja,25,Feitelijk,Voorzichtig,Ondersteunend,Autonoom,Wekelijks,0,Nee,3,Geen,Gemiddeld,2,1,3,3,5,Kans,3,Laag,3,Weerstand,Risk-averse,Laag,4,Coaching,Zekerheid,4,3,Midden,50/50,2-ploeg,Laag,Hoog,Hoog,Klein,Snel,Hoog,Ja,Microsoft Teams,5,1,Neutraal,5,5,2,Proactief,Intuïtief,30,4560
Volker Nexus Group,VNG-5SDDPK,Tycho de Marduras,21,V,Turks-Nederlands,Flevoland,HBO,Werktuigbouwkunde,Predictive Maintenance,3,1,Teamleider Uitvoering,Juridisch,Team-24,Junior,Conservatief,ESTJ,Centrum,5,57,0,Mix,Nee,0,Formeel,Indirect,Afwezig,Consensus,Wekelijks,3,Nee,3,Mentor,Laag,3,4,4,5,4,Verlies,1,Hoog,1,Weerstand,Risk-averse,Laag,5,Klassikaal,Zingeving,2,5,Hoog,50/50,Geen,Laag,Hoog,Hoog,Groot,Gemiddeld,Midden,Nee,Google Meet,3,3,Proactief,5,4,3,Formalistisch,Ervarings-gedreven,36,5016
Volker Nexus Group,VNG-46OB3D,Zoë Boers,39,X,Nederlands,Groningen,MBO,Stedenbouw,Staalbouw,4,3,Logistiek coördinator,Materieel & Logistiek,Team-48,Junior-Medior,Innovatief,INTP,Centrum,4,46,50,Auto,Nee,75,Informeel,Direct,Afwezig,Top-down,Dagelijks,6,Ja,2,Mentee,Hoog,3,3,1,2,2,Verlies,4,Hoog,1,Change champion,Neutraal,Laag,3,E-learning,Zekerheid,3,4,Midden,100% kantoor,2-ploeg,Midden,Midden,Midden,Geen,Snel,Laag,Nee,Slack,4,3,Proactief,1,4,2,Formalistisch,Data-gedreven,17,4160
Volker Nexus Group,VNG-HWOU6A,James Welf,45,M,Nederlands,Noord-Holland,HBO,Werktuigbouwkunde,Asset Management,0,0,Cloud Engineer,Bouw,Team-32,Starter,Visionair,INFP,Centrum,4,70,3,OV,Nee,25,Feitelijk,Voorzichtig,Ondersteunend,Top-down,Zelden,5,Nee,4,Geen,Laag,4,2,2,1,3,Neutraal,2,Hoog,3,Weerstand,Neutraal,Laag,1,E-learning,Status,2,4,Midden,25/75,3-ploeg,Midden,Laag,Hoog,Geen,Gemiddeld,Laag,Ja,Zoom,5,3,Neutraal,1,1,1,Stilhouden,Intuïtief,26,4080
Volker Nexus Group,VNG-YYJ7VN,Nienke Oude Heer,31,V,Overig Europees-Nederlands,Zeeland,HBO,Architectuur,Cost Engineering,11,10,Engineer WTB,Data & Analytics,Team-34,Medior-Senior,Neutraal,ISTP,Centrum,1,81,31,Mix,Nee,25,Formeel,Voorzichtig,Ondersteunend,Top-down,Zelden,3,Nee,2,Mentee,Laag,5,5,5,4,1,Neutraal,3,Laag,5,Volger,Risk-averse,Midden,3,E-learning,Status,4,5,Midden,100% field,3-ploeg,Hoog,Midden,Midden,Middel,Gemiddeld,Hoog,Nee,Microsoft Teams,3,1,Proactief,5,4,4,Formalistisch,Intuïtief,38,7416
Volker Nexus Group,VNG-KZYB1W,Bente Bosch,37,X,Nederlands,Zuid-Holland,HBO,Communicatie,PV/Zonne-energie,1,1,Environmental Specialist,Juridisch,Team-47,Starter,Reactief,ENFJ,Centrum-links,2,37,0,Auto,Nee,75,Verbindend,Voorzichtig,Sturend,Autonoom,Zelden,2,Nee,1,Mentee,Hoog,1,1,3,3,3,Neutraal,1,Gemiddeld,3,Change champion,Neutraal,Laag,1,E-learning,Zekerheid,5,4,Midden,100% field,2-ploeg,Hoog,Midden,Midden,Geen,Traag,Laag,Nee,Slack,5,4,Sceptisch,5,4,3,Stilhouden,Intuïtief,12,3740
Volker Nexus Group,VNG-KBDXGY,Lizz Goderts,36,M,Nederlands,Utrecht,MBO,Biotechnologie,Asset Management,1,0,Werkvoorbereider,Materieel & Logistiek,Team-39,Starter,Conservatief,ISTP,Rechts,4,34,77,Auto,Nee,100,Formeel,Indirect,Ondersteunend,Top-down,Dagelijks,4,Ja,4,Beide,Laag,1,3,4,3,2,Verlies,4,Gemiddeld,5,Weerstand,Risk-averse,Midden,1,Klassikaal,Zingeving,3,5,Laag,100% field,2-ploeg,Laag,Midden,Laag,Groot,Snel,Hoog,Ja,Google Meet,5,4,Sceptisch,1,3,4,Stilhouden,Intuïtief,23,3196
Volker Nexus Group,VNG-UPBNZJ,Maryam Moenen,41,V,Nederlands,Gelderland,HBO,Kwaliteitsmanagement,Lean Construction,2,2,Site Manager,Uitvoering,Team-20,Junior,Innovatief,ESFP,Links,3,93,0,Mix,Nee,0,Feitelijk,Voorzichtig,Coachend,Autonoom,Maandelijks,5,Ja,5,Beide,Gemiddeld,4,2,4,3,1,Verlies,1,Laag,2,Volger,Risk-seeking,Midden,2,E-learning,Zingeving,1,3,Laag,100% kantoor,3-ploeg,Laag,Hoog,Midden,Klein,Snel,Midden,Ja,Slack,3,1,Neutraal,1,5,2,Proactief,Ervarings-gedreven,10,5301
Volker Nexus Group,VNG-XVLYLN,Nikki van Laon,29,X,Nederlands,Utrecht,PhD,Werktuigbouwkunde,Warmtepompen,0,0,Servicemonteur,Duurzaamheid,Team-43,Starter,Innovatief,ENTJ,Centrum-rechts,1,60,50,Auto,Ja,100,Informeel,Voorzichtig,Afwezig,Consensus,Dagelijks,5,Ja,1,Mentee,Gemiddeld,1,1,3,1,2,Kans,3,Hoog,3,Volger,Risk-seeking,Laag,5,On-the-job,Status,5,5,Midden,100% kantoor,3-ploeg,Laag,Midden,Hoog,Groot,Gemiddeld,Hoog,Ja,Zoom,3,2,Proactief,4,4,4,Stilhouden,Intuïtief,12,3000
Volker Nexus Group,VNG-EU57YA,Dean van Hagen,29,V,Nederlands,Noord-Holland,WO,Scheikunde,MLOps,3,0,Teamleider Uitvoering,Commercie/BD,Team-34,Junior,Conservatief,ISFP,Centrum,1,43,42,Auto,Ja,75,Formeel,Direct,Coachend,Consensus,Dagelijks,5,Nee,2,Geen,Gemiddeld,2,3,5,3,1,Kans,4,Gemiddeld,4,Volger,Neutraal,Laag,2,Coaching,Zekerheid,4,4,Laag,100% field,Geen,Laag,Laag,Hoog,Geen,Gemiddeld,Laag,Ja,Google Meet,3,3,Sceptisch,4,4,3,Formalistisch,Data-gedreven,33,5016
Volker Nexus Group,VNG-0D2H6N,Cornelia Wright,51,M,Nederlands,Noord-Brabant,MBO,Rechten,PV/Zonne-energie,18,2,Uitvoerder,Uitvoering,Team-38,Senior,Conservatief,ESTJ,Centrum,3,59,50,Auto,Ja,0,Formeel,Voorzichtig,Ondersteunend,Autonoom,Zelden,0,Ja,3,Mentee,Hoog,2,4,2,3,5,Kans,5,Laag,5,Volger,Risk-seeking,Hoog,5,Klassikaal,Zingeving,4,4,Midden,75/25,3-ploeg,Midden,Hoog,Laag,Geen,Snel,Laag,Nee,Zoom,3,1,Neutraal,3,4,2,Formalistisch,Data-gedreven,14,10140
Volker Nexus Group,VNG-TQZ0T1,Meike Janssens-van Luyssel,28,X,Nederlands,Utrecht,MBO,Elektrotechniek,Contractrecht,2,2,Magazijnbeheerder,Materieel & Logistiek,Team-35,Junior,Visionair,ESFP,Links,4,60,50,OV,Nee,0,Feitelijk,Voorzichtig,Ondersteunend,Top-down,Zelden,2,Ja,3,Geen,Hoog,5,4,5,5,3,Verlies,1,Hoog,1,Volger,Neutraal,Hoog,5,Coaching,Zekerheid,3,1,Hoog,100% kantoor,Geen,Midden,Hoog,Hoog,Klein,Gemiddeld,Hoog,Ja,Google Meet,3,2,Neutraal,1,1,2,Proactief,Intuïtief,34,3268
Volker Nexus Group,VNG-08K0MK,Aaron van Munster,31,V,Nederlands,Zeeland,HBO,Data Science,ISO-9001,3,0,KAM/HSSE-coördinator,Finance/Control,Team-40,Junior,Neutraal,INTP,Links,4,29,7,Fiets,Nee,50,Feitelijk,Indirect,Afwezig,Top-down,Maandelijks,4,Ja,4,Mentor,Gemiddeld,1,2,5,5,1,Neutraal,5,Laag,3,Weerstand,Neutraal,Midden,1,Klassikaal,Geld,5,5,Hoog,100% field,Geen,Hoog,Midden,Midden,Middel,Traag,Midden,Ja,Slack,2,1,Sceptisch,1,1,4,Formalistisch,Data-gedreven,12,4503
Volker Nexus Group,VNG-17VLMT,Rafael Bos-Bronder,24,X,Nederlands,Zuid-Holland,MBO,HRM,Circulair Bouwen,8,7,Planner,Infra,Team-43,Medior,Conservatief,ISFJ,Centrum,5,26,17,Mix,Nee,25,Formeel,Direct,Sturend,Top-down,Wekelijks,0,Ja,2,Mentor,Gemiddeld,3,2,5,4,4,Verlies,3,Laag,1,Change champion,Risk-averse,Laag,3,E-learning,Groei,1,3,Hoog,25/75,2-ploeg,Hoog,Laag,Hoog,Geen,Gemiddeld,Midden,Nee,Zoom,3,3,Proactief,5,5,5,Formalistisch,Intuïtief,5,5368
Volker Nexus Group,VNG-R0QE0Z,Levi Françoise,34,X,Marokkaans-Nederlands,Gelderland,WO,Installatietechniek,Geotechniek,19,10,Site Manager,Bouw,Team-13,Senior,Reactief,ISTJ,Centrum,1,27,28,Fiets,Nee,25,Formeel,Direct,Ondersteunend,Top-down,Wekelijks,3,Nee,0,Beide,Hoog,2,1,1,5,4,Verlies,4,Gemiddeld,3,Volger,Risk-seeking,Laag,2,Klassikaal,Geld,2,4,Laag,100% kantoor,Geen,Midden,Hoog,Hoog,Groot,Snel,Laag,Ja,Microsoft Teams,4,3,Sceptisch,4,1,1,Proactief,Ervarings-gedreven,38,11453
Volker Nexus Group,VNG-IJNHSA,Lizzy Rijks-van Gils,51,V,Nederlands,Zuid-Holland,MBO,Wiskunde,MLOps,1,0,Servicemonteur,Inkoop,Team-19,Starter,Visionair,ESFP,Centrum-rechts,4,44,50,Fiets,Nee,25,Verbindend,Indirect,Sturend,Top-down,Maandelijks,1,Ja,0,Geen,Hoog,5,1,1,4,4,Kans,1,Hoog,4,Change champion,Risk-averse,Hoog,1,On-the-job,Zingeving,2,4,Hoog,100% kantoor,2-ploeg,Midden,Laag,Midden,Middel,Snel,Hoog,Nee,Microsoft Teams,3,1,Neutraal,5,5,1,Formalistisch,Data-gedreven,37,3000
Volker Nexus Group,VNG-XWOXAM,Tycho Friehus,46,V,Nederlands,Drenthe,HBO,Stedenbouw,EMVI,6,3,Tender Manager/EMVI,Infra,Team-23,Junior-Medior,Neutraal,ENFP,Centrum-rechts,2,87,66,OV,Ja,25,Formeel,Indirect,Sturend,Top-down,Wekelijks,2,Ja,3,Geen,Laag,1,5,1,4,4,Verlies,2,Gemiddeld,4,Change champion,Neutraal,Midden,1,E-learning,Zekerheid,1,1,Midden,50/50,2-ploeg,Hoog,Midden,Midden,Groot,Gemiddeld,Laag,Nee,Zoom,3,2,Proactief,4,4,3,Proactief,Ervarings-gedreven,17,6060
Volker Nexus Group,VNG-AKXCMZ,Fenna van Nimwegen,24,M,Nederlands,Limburg,MBO,Veiligheidskunde,UAV-gc,8,5,Monteur E-tech,Commercie/BD,Team-24,Medior,Visionair,ENFP,Centrum-rechts,5,0,50,Mix,Nee,50,Formeel,Direct,Ondersteunend,Consensus,Dagelijks,1,Nee,3,Beide,Hoog,3,3,4,1,1,Kans,1,Laag,3,Change champion,Neutraal,Laag,3,Klassikaal,Geld,1,3,Midden,50/50,Geen,Midden,Midden,Midden,Groot,Traag,Hoog,Nee,Slack,2,1,Sceptisch,3,1,1,Proactief,Data-gedreven,9,4664
Volker Nexus Group,VNG-VW0MUR,Sanne van Kusen-Verbeek,45,X,Nederlands,Drenthe,Bachelor,Architectuur,Databricks,3,1,Voorman,Bouw,Team-43,Junior,Reactief,ENFP,Centrum-rechts,5,49,50,Te voet,Nee,100,Feitelijk,Indirect,Ondersteunend,Top-down,Zelden,3,Ja,1,Beide,Laag,3,2,3,3,3,Kans,3,Hoog,3,Weerstand,Risk-averse,Midden,1,Coaching,Groei,3,3,Laag,50/50,Geen,Midden,Hoog,Midden,Middel,Traag,Laag,Ja,Google Meet,1,1,Proactief,4,5,4,Formalistisch,Intuïtief,37,4094
Volker Nexus Group,VNG-ISKF3B,Valentijn Veenstra,45,M,Duits-Nederlands,Drenthe,WO,Ruimtelijke Ordening,Bruggen & Tunnels,2,0,Teamleider Uitvoering,Materieel & Logistiek,Team-02,Junior,Innovatief,ISTJ,Centrum,4,98,46,Auto,Ja,0,Verbindend,Indirect,Sturend,Autonoom,Dagelijks,3,Nee,0,Geen,Gemiddeld,1,5,2,5,3,Verlies,1,Laag,4,Change champion,Risk-seeking,Hoog,4,Klassikaal,Status,4,1,Midden,75/25,2-ploeg,Midden,Midden,Hoog,Groot,Snel,Laag,Nee,Slack,5,3,Proactief,5,3,3,Formalistisch,Intuïtief,17,4864
Volker Nexus Group,VNG-UFPQL0,Morris Rubben,41,V,Nederlands,Flevoland,MBO,HRM,Geotechniek,2,1,Teamleider Uitvoering,Engineering,Team-45,Junior,Visionair,ENFJ,Extreem rechts,4,100,22,OV,Ja,0,Informeel,Voorzichtig,Ondersteunend,Autonoom,Zelden,1,Ja,3,Mentee,Hoog,4,4,5,5,3,Verlies,2,Laag,4,Weerstand,Risk-seeking,Midden,1,E-learning,Geld,1,3,Hoog,100% kantoor,2-ploeg,Hoog,Hoog,Laag,Middel,Gemiddeld,Hoog,Nee,Google Meet,3,1,Neutraal,3,5,1,Stilhouden,Ervarings-gedreven,12,4864
Volker Nexus Group,VNG-5F3C86,Inaya Jansen-van Kempen,26,M,Nederlands,Groningen,MBO,Finance & Control,ARBO,0,0,Voorman,Materieel & Logistiek,Team-44,Starter,Innovatief,ISFP,Centrum,2,13,83,Auto,Ja,50,Verbindend,Indirect,Coachend,Consensus,Wekelijks,0,Ja,2,Beide,Laag,4,5,3,4,3,Neutraal,1,Laag,5,Change champion,Risk-seeking,Laag,5,On-the-job,Geld,2,2,Hoog,25/75,3-ploeg,Laag,Midden,Midden,Groot,Snel,Hoog,Ja,Zoom,2,1,Neutraal,2,1,2,Formalistisch,Intuïtief,31,3230
Volker Nexus Group,VNG-YFASA7,Suus Huijben,44,M,Nederlands,Noord-Brabant,MBO,Data Science,Nul-op-de-meter,20,2,Monteur E-tech,ICT,Team-36,Senior,Reactief,INFP,Centrum-links,1,60,95,Auto,Nee,50,Informeel,Voorzichtig,Afwezig,Consensus,Maandelijks,2,Ja,0,Geen,Hoog,2,1,1,2,1,Kans,5,Laag,4,Volger,Risk-averse,Midden,4,On-the-job,Groei,3,2,Laag,50/50,Geen,Laag,Laag,Midden,Geen,Gemiddeld,Hoog,Ja,Zoom,2,2,Sceptisch,2,4,1,Proactief,Ervarings-gedreven,13,7540
Volker Nexus Group,VNG-93I3V7,Melissa Coolen,35,X,Nederlands,Groningen,MBO,Projectmanagement,ISO-9001,0,0,Monteur W-tech,KAM/HSSE,Team-44,Starter,Visionair,ISFJ,Centrum,1,55,100,Mix,Nee,25,Feitelijk,Voorzichtig,Ondersteunend,Top-down,Zelden,1,Nee,0,Beide,Hoog,1,2,4,2,3,Kans,3,Gemiddeld,3,Change champion,Neutraal,Laag,2,E-learning,Zekerheid,1,2,Laag,25/75,2-ploeg,Hoog,Midden,Hoog,Geen,Gemiddeld,Hoog,Nee,Microsoft Teams,2,2,Neutraal,4,5,2,Stilhouden,Ervarings-gedreven,6,3000
Volker Nexus Group,VNG-OIH4N9,Mart van den Broek,38,X,Nederlands,Drenthe,WO,HRM,Circulair Bouwen,1,0,Data Engineer,Bouw,Team-27,Starter,Conservatief,ESFJ,Centrum-links,2,100,29,Auto,Nee,25,Informeel,Indirect,Sturend,Consensus,Zelden,1,Ja,4,Beide,Hoog,3,4,3,2,2,Kans,4,Laag,1,Change champion,Risk-averse,Hoog,3,Coaching,Geld,2,4,Hoog,75/25,2-ploeg,Hoog,Laag,Hoog,Klein,Traag,Hoog,Nee,Microsoft Teams,5,1,Proactief,2,4,3,Stilhouden,Ervarings-gedreven,10,4258
Volker Nexus Group,VNG-ILVMGQ,Ashley Schuylenborch-Wolfsdr,29,V,Indonesisch-Nederlands,Drenthe,WO,Logistiek,Planning,11,9,Sustainability Advisor,Inkoop,Team-50,Medior-Senior,Neutraal,INFP,Centrum-links,3,41,28,OV,Nee,25,Verbindend,Indirect,Sturend,Top-down,Dagelijks,2,Ja,1,Mentee,Hoog,3,5,3,5,2,Kans,5,Hoog,5,Volger,Neutraal,Laag,1,Klassikaal,Status,5,4,Hoog,50/50,2-ploeg,Midden,Laag,Midden,Geen,Snel,Midden,Nee,Slack,1,2,Neutraal,4,2,5,Stilhouden,Data-gedreven,20,7680
